smiles0,smiles1,charge0,charge1,natoms0,natoms1,system_id,group_orig,group_id,k_index,geom_id,cc_basis,cc_HF,cc_MP2_os,cc_MP2_ss,cc_CCSD_os,cc_CCSD_ss,cc_(T),cc_[T],cc_MP2_all,cc_CCSD(T)_all,cc_delta_CCSD(T),qz_HF,qz_MP2_os,qz_MP2_ss,qz_MP2_all,tz_HF,tz_MP2_os,tz_MP2_ss,tz_MP2_all,cbs_MP2_os,cbs_MP2_ss,cbs_MP2_all,cbs_CCSD(T)_all,espx_HF_es,espx_HF_hl,espx_HF_ovl,espx_MP2_es,espx_MP2_ovl,sapt_es,sapt_ex,sapt_exs2,sapt_ind,sapt_exind,sapt_disp,sapt_exdisp_os,sapt_exdisp_ss,sapt_delta_HF,sapt_all,nn_CCSD(T)_all,nn_CCSD(T)_all_05,nn_CCSD(T)_all_95,xyz,elements,reference,system_name
CO,O,0,0,6,3,15449,S66x8,3057611,0,66871558,avtz,-3.79562,-0.57143,-1.01159,-0.22661,-1.06121,-0.28653,-0.29203,-5.37864,-5.36996,0.00868,-3.83392,-0.68209,-1.0385,-5.55451,-3.79562,-0.57143,-1.01159,-5.37864,-0.76284,-1.05813,-5.65489,-5.64621,-8.28771,-1.46917,0.04417,-8.315380000000001,0.05117,-8.32586,6.55595,6.51233,-1.7732,0.7794,-2.58484,0.11901,0.17372,-1.11801,-6.1738300000000015,-5.64564,-5.70771,-5.58041,2.82535 -0.42646 -1.18698 2.36034 0.04517 0.07518 2.39453 0.22464 -1.94009 3.91131 -0.37566 -1.26129 2.49701 -1.44632 -1.38606 2.72833 -0.5269 0.75271 -0.52533 -0.05097 -0.31452 -0.94201 0.7479 0.01125 0.4037 0.05979 -0.07357,C O H H H H O H H,-5.589,2_WaterMeOH
CO,O,0,0,6,3,15449,S66x8,3057611,5,66871559,avtz,-3.89297,-0.47716,-0.84401,-0.1949,-0.8892,-0.24282,-0.24781,-5.21414,-5.21988,-0.00574,-3.92531,-0.56692,-0.86603,-5.35826,-3.89297,-0.47716,-0.84401,-5.21414,-0.63241,-0.8821,-5.4398300000000015,-5.44556,-6.95017,-2.19423,0.032510000000000004,-6.9363600000000005,0.03828,-6.98255,4.56787,4.54579,-1.28997,0.49997,-2.0993,0.08331000000000001,0.12793,-0.7659999999999999,-5.85874,-5.44461,-5.50126,-5.3855900000000005,2.92328 -0.42719 -1.17953 2.45827 0.04444 0.08263 2.49246 0.22391 -1.93265 4.00924 -0.37639 -1.25384 2.59494 -1.44706 -1.37861 2.82626 -0.52763 0.76015 -0.52533 -0.05097 -0.31452 -0.94201 0.7479 0.01125 0.4037 0.05979 -0.07357,C O H H H H O H H,-5.396,2_WaterMeOH
CO,O,0,0,6,3,15449,S66x8,3057611,10,66871560,avtz,-3.83263,-0.39655,-0.70467,-0.1647,-0.74515,-0.20468,-0.20921,-4.93385,-4.94716,-0.01331,-3.8576,-0.46975,-0.72268,-5.0500300000000005,-3.83263,-0.39655,-0.70467,-4.93385,-0.52317,-0.73582,-5.11659,-5.1299,-5.89277,-2.57727,0.02386,-5.84748,0.02858,-5.91902,3.18987,3.17869,-0.95598,0.32321,-1.7126,0.05809,0.09389,-0.54347,-5.46601,-5.12794,-5.17733,-5.07602,3.02111 -0.42792 -1.1721 2.55611 0.04371 0.09006 2.5903 0.22318 -1.92521 4.10708 -0.37712 -1.24641 2.69277 -1.44779 -1.37118 2.92409 -0.52836 0.76759 -0.52533 -0.05097 -0.31452 -0.94201 0.7479 0.01125 0.4037 0.05979 -0.07357,C O H H H H O H H,-5.086,2_WaterMeOH
CO,O,0,0,6,3,15449,S66x8,3057611,25,66871561,avtz,-3.2336400000000003,-0.22026,-0.41281,-0.08782000000000001,-0.4402100000000001,-0.11916,-0.12244,-3.86671,-3.88084,-0.014130000000000004,-3.24075,-0.26151,-0.42265,-3.9249,-3.2336400000000003,-0.22026,-0.41281,-3.86671,-0.29161,-0.42984,-3.96219,-3.97632,-3.80681,-2.68725,0.00931,-3.71193,0.01176,-3.820780000000001,1.11103,1.10955,-0.42588,0.08887,-0.95464,0.019430000000000003,0.0359,-0.2486,-4.19467,-3.97005,-4.0028,-3.93755,3.31461 -0.43011 -1.14978 2.8496 0.04152 0.11238 2.88379 0.22098 -1.9029 4.40057 -0.37932 -1.22409 2.98627 -1.44998 -1.34886 3.21759 -0.53056 0.7899 -0.52533 -0.05097 -0.31452 -0.94201 0.7479 0.01125 0.4037 0.05979 -0.07357,C O H H H H O H H,-3.947,2_WaterMeOH
CO,O,0,0,6,3,15449,S66x8,3057611,50,66871562,avtz,-2.12245,-0.06885,-0.17445,-0.00982,-0.1882,-0.04427,-0.04564,-2.36575,-2.36475,0.001,-2.11822,-0.08793,-0.17845999999999998,-2.38461,-2.12245,-0.06885,-0.17445,-2.36575,-0.10185,-0.18139,-2.40146,-2.40046,-2.13184,-1.94894,0.0019,-2.031,0.00263,-2.13822,0.20946,0.2094,-0.13982,0.01018,-0.39506,0.00312,0.00643,-0.09882,-2.54273,-2.39741,-2.4163900000000003,-2.37894,3.80377 -0.43376 -1.1126 3.33877 0.03787 0.14956 3.37295 0.21733 -1.86571 4.88973 -0.38297 -1.18691 3.47543 -1.45363 -1.31168 3.70675 -0.53421 0.82709 -0.52533 -0.05097 -0.31452 -0.94201 0.7479 0.01125 0.4037 0.05979 -0.07357,C O H H H H O H H,-2.385,2_WaterMeOH
CO,O,0,0,6,3,15449,S66x8,3057611,100,66871563,avtz,-0.93153,0.012819999999999998,-0.03451,0.030080000000000006,-0.03964,-0.00224,-0.0016,-0.95322,-0.94333,0.00989,-0.92948,0.00517,-0.03592,-0.96023,-0.93153,0.012819999999999998,-0.03451,-0.95322,-0.00041,-0.03696,-0.96684,-0.95695,-0.90528,-0.9005,8e-05,-0.8431700000000001,0.00013000000000000002,-0.90694,0.00685,0.00685,-0.02644,0.00015,-0.09296,8e-05,0.00019,-0.016130000000000002,-1.0352,-0.95809,-0.96802,-0.94794,4.78209 -0.44107 -1.03822 4.31709 0.03056 0.22394 4.35128 0.21003 -1.79133 5.86806 -0.39027 -1.11253 4.45375 -1.46094 -1.2373 4.68507 -0.54152 0.90147 -0.52533 -0.05097 -0.31452 -0.94201 0.7479 0.01125 0.4037 0.05979 -0.07357,C O H H H H O H H,-0.952,2_WaterMeOH
CN,O,0,0,7,3,15235,S66x8,3057579,-10,66871300,avtz,-3.55291,-1.10183,-1.7143400000000002,-0.45081,-1.72293,-0.4898,-0.5071,-6.36908,-6.21645,0.15264,-3.56215,-1.29631,-1.75247,-6.6109300000000015,-3.55291,-1.10183,-1.7143400000000002,-6.36908,-1.43822,-1.7802900000000002,-6.780660000000001,-6.62803,-16.25695,3.12352,0.11861,-16.50984,0.12802,-16.22684,18.67078,18.30748,-5.32764,3.14239,-4.66208,0.32054,0.46654,-3.91262,-7.5289199999999985,-6.58822,-6.71628,-6.4507900000000005,2.74282 1.40561 -0.03511 2.08348 0.09724 0.00514 2.43227 1.98733 0.82941 3.83413 1.36631 -0.04406 2.4161 1.94153 -0.92293 2.37885 -0.45539 -0.78966 2.39356 -0.41348 0.822 -0.68746 -0.11174 -0.01963 -1.04612 0.77594 0.01271 0.27404 0.02585 -0.0035,C N H H H H H O H H,-6.53,3_WaterMeNH2
CN,O,0,0,7,3,15235,S66x8,3057579,-5,66871301,avtz,-4.36851,-0.93145,-1.44182,-0.39109,-1.45805,-0.42654,-0.44041,-6.74178,-6.644189999999999,0.0976,-4.38011,-1.08819,-1.47262,-6.940919999999998,-4.36851,-0.93145,-1.44182,-6.74178,-1.20256,-1.49509,-7.07777,-6.980169999999998,-13.4058,0.56153,0.09033,-13.60579,0.09878,-13.401270000000002,13.43549,13.23875,-3.86718,2.13249,-3.75542,0.23607,0.34464,-2.7557,-7.630889999999999,-6.95478,-7.0622,-6.8412,2.84334 1.40957 -0.03463 2.184 0.10121 0.00562 2.53279 1.9913 0.82989 3.93464 1.37028 -0.04358 2.51662 1.94549 -0.92245 2.47936 -0.45143 -0.78918 2.49408 -0.40951 0.82247 -0.68746 -0.11174 -0.01963 -1.04612 0.77594 0.01271 0.27404 0.02585 -0.0035,C N H H H H H O H H,-6.897,3_WaterMeNH2
CN,O,0,0,7,3,15235,S66x8,3057579,0,66871302,avtz,-4.75135,-0.78551,-1.21119,-0.3376,-1.23139,-0.36906,-0.38028,-6.74804,-6.6894,0.05865,-4.76517,-0.91174,-1.23607,-6.91298,-4.75135,-0.78551,-1.21119,-6.74804,-1.00386,-1.25422,-7.02325,-6.96461,-11.14946,-1.09007,0.06856,-11.30076,0.07602,-11.15774,9.66287,9.55665,-2.84939,1.45039,-3.03727,0.1724,0.25502,-1.9326,-7.4363199999999985,-6.9474800000000005,-7.03215,-6.85554,2.94375 1.41354 -0.03415 2.28442 0.10517 0.00609 2.63321 1.99526 0.83037 4.03506 1.37424 -0.0431 2.61704 1.94945 -0.92197 2.57978 -0.44747 -0.7887 2.5945 -0.40555 0.82295 -0.68746 -0.11174 -0.01963 -1.04612 0.77594 0.01271 0.27404 0.02585 -0.0035,C N H H H H H O H H,-6.894,3_WaterMeNH2
CN,O,0,0,7,3,15235,S66x8,3057579,5,66871303,avtz,-4.84981,-0.66091,-1.01649,-0.28983000000000003,-1.03796,-0.31737,-0.32654,-6.5272,-6.49497,0.03223,-4.86415,-0.76268,-1.03662,-6.66345,-4.84981,-0.66091,-1.01649,-6.5272,-0.83695,-1.05131,-6.7524,-6.72017,-9.34914,-2.11528,0.05184,-9.4577,0.0583,-9.36156,6.94463,6.88748,-2.1253,0.98797,-2.46481,0.12484,0.18937,-1.3596,-7.06446,-6.70741,-6.776610000000002,-6.631939999999998,3.04437 1.41751 -0.03367 2.38504 0.10914 0.00657 2.73383 1.99923 0.83085 4.13568 1.37821 -0.04262 2.71766 1.95342 -0.92149 2.6804 -0.4435 -0.78822 2.69512 -0.40158 0.82343 -0.68746 -0.11174 -0.01963 -1.04612 0.77594 0.01271 0.27404 0.02585 -0.0035,C N H H H H H O H H,-6.66,3_WaterMeNH2
CN,O,0,0,7,3,15235,S66x8,3057579,10,66871304,avtz,-4.76556,-0.5553100000000001,-0.8532700000000001,-0.24745,-0.8741899999999999,-0.27157,-0.27912,-6.17414,-6.15876,0.01538,-4.7786300000000015,-0.63763,-0.8696,-6.28586,-4.76556,-0.5553100000000001,-0.8532700000000001,-6.17414,-0.6977,-0.8815200000000001,-6.35785,-6.34247,-7.90769,-2.70779,0.03909,-7.9801600000000015,0.04462,-7.91936,4.9966800000000005,4.96594,-1.60345,0.67478,-2.00823,0.08982000000000001,0.14131,-0.96933,-6.59778,-6.33102,-6.39085,-6.26387,3.14489 1.42147 -0.03319 2.48556 0.11311 0.00705 2.83435 2.0032 0.83133 4.2362 1.38218 -0.04214 2.81818 1.95739 -0.92101 2.78092 -0.43953 -0.78774 2.79564 -0.39761 0.82391 -0.68746 -0.11174 -0.01963 -1.04612 0.77594 0.01271 0.27404 0.02585 -0.0035,C N H H H H H O H H,-6.291,3_WaterMeNH2
CN,O,0,0,7,3,15235,S66x8,3057579,25,66871305,avtz,-4.01593,-0.32675,-0.50726,-0.14782,-0.52162,-0.1659,-0.17035,-4.84994,-4.85126,-0.00132,-4.02159,-0.37148,-0.5161,-4.90917,-4.01593,-0.32675,-0.50726,-4.84994,-0.40413,-0.52254,-4.9482599999999985,-4.94959,-5.01911,-3.09374,0.01651,-5.019819999999998,0.01975,-5.0229599999999985,1.88513,1.88031,-0.72941,0.21764,-1.1107200000000002,0.03253,0.05913,-0.4056,-5.0742699999999985,-4.93677,-4.9806300000000014,-4.89254,3.44645 1.43337 -0.03175 2.78711 0.12501 0.00849 3.13591 2.0151 0.83277 4.53776 1.39408 -0.0407 3.11974 1.96929 -0.91957 3.08248 -0.42763 -0.7863 3.09719 -0.38571 0.82535 -0.68746 -0.11174 -0.01963 -1.04612 0.77594 0.01271 0.27404 0.02585 -0.0035,C N H H H H H O H H,-4.916,3_WaterMeNH2
CN,O,0,0,7,3,15235,S66x8,3057579,50,66871306,avtz,-2.61022,-0.12955,-0.22026,-0.0497,-0.2243,-0.06859,-0.07049,-2.96003,-2.95281,0.007229999999999999,-2.60843,-0.14833,-0.22369,-2.98045,-2.61022,-0.12955,-0.22026,-2.96003,-0.16203,-0.22619,-2.99666,-2.98943,-2.68738,-2.32094,0.00379,-2.6472900000000004,0.00494,-2.68838,0.39636,0.39612,-0.23405,0.03444,-0.44742,0.00585,0.01249,-0.14351,-3.0642400000000003,-2.98851,-3.01095,-2.96652,3.94904 1.4532 -0.02935 3.28971 0.14484 0.01089 3.6385 2.03493 0.83516 5.04035 1.41391 -0.03831 3.62233 1.98912 -0.91717 3.58507 -0.4078 -0.7839 3.59979 -0.36588 0.82775 -0.68746 -0.11174 -0.01963 -1.04612 0.77594 0.01271 0.27404 0.02585 -0.0035,C N H H H H H O H H,-2.9730000000000003,3_WaterMeNH2
CN,O,0,0,7,3,15235,S66x8,3057579,100,66871307,avtz,-1.08854,-0.01184,-0.04854,0.01163,-0.04765,-0.00926,-0.00911,-1.1489200000000002,-1.13382,0.0151,-1.08668,-0.01813,-0.04955,-1.15436,-1.08854,-0.01184,-0.04854,-1.1489200000000002,-0.02272,-0.05029,-1.15969,-1.14459,-1.0542200000000002,-1.04081,0.00019,-1.01988,0.0003,-1.05516,0.01812,0.01812,-0.04033,0.00095,-0.09883,0.00019,0.00043,-0.02223,-1.19687,-1.15008,-1.16169,-1.13885,4.95423 1.49286 -0.02456 4.2949 0.1845 0.01569 4.64369 2.07459 0.83996 6.04554 1.45357 -0.03351 4.62752 2.02878 -0.91238 4.59026 -0.36814 -0.7791 4.60498 -0.32622 0.83255 -0.68746 -0.11174 -0.01963 -1.04612 0.77594 0.01271 0.27404 0.02585 -0.0035,C N H H H H H O H H,-1.14,3_WaterMeNH2
CNC(=O)C,O,0,0,12,3,15038,S66x8,3057413,-10,66869972,avdz,-4.57876,-0.19517,-1.52643,0.4501600000000001,-1.77417,-0.36357,-0.36272,-6.30036,-6.2663400000000005,0.03402,-4.72165,-0.91176,-1.8311,-7.4645100000000015,-4.69162,-0.68583,-1.777,-7.15445,-1.07663,-1.87058,-7.66886,-7.63484,-16.93573,1.94672,0.11109,-16.37787,0.1235,-16.94502,18.18526,17.92953,-5.37792,2.79736,-5.74406,0.36334,0.50163,-3.4832300000000003,-9.70264,-7.68993,-7.80577,-7.561439999999998,5.0251 0.09156 -0.05039 4.15686 -1.06041 -0.15984 2.80623 -0.9629 -0.09522 2.22951 0.11239 0.06137 2.0515 -2.26092 -0.22781 4.38861 0.95986 0.08439 5.69069 0.00011 0.8057 5.61957 0.22098 -0.95265 4.55781 -1.97094 -0.28935 2.70146 -3.12203 -0.36073 1.37052 -2.18345 -1.07168 1.43848 -2.39971 0.65919 -0.39202 -0.38472 0.07607 -0.91146 0.41381 0.17765 0.5249 -0.06848 0.09051,C N C O C H H H H H H H O H H,-7.666,4_WaterPeptide
CNC(=O)C,O,0,0,12,3,15038,S66x8,3057413,-5,66869973,avdz,-5.44485,-0.17639000000000002,-1.3056,0.35944,-1.53211,-0.32267,-0.32062,-6.9268399999999986,-6.9402,-0.01336,-5.54131,-0.76949,-1.56245,-7.87325,-5.5084800000000005,-0.58304,-1.5171,-7.608619999999998,-0.90555,-1.59554,-8.04239,-8.05575,-14.17808,-0.5909300000000001,0.08471000000000001,-13.63986,0.09555,-14.20269,13.06546,12.92959,-3.924830000000001,1.86871,-4.7450800000000015,0.26794,0.38196,-2.42955,-9.71807,-8.0716,-8.17337,-7.9612,5.1198 0.10161 -0.05201 4.25156 -1.05036 -0.16146 2.90092 -0.95286 -0.09684 2.32421 0.12244 0.05975 2.14619 -2.25087 -0.22943 4.4833 0.96991 0.08277 5.78539 0.01016 0.80408 5.71426 0.23103 -0.95427 4.65251 -1.96089 -0.29097 2.79615 -3.11198 -0.36235 1.46522 -2.1734 -1.0733 1.53317 -2.38967 0.65758 -0.39202 -0.38472 0.07607 -0.91146 0.41381 0.17765 0.5249 -0.06848 0.09051,C N C O C H H H H H H H O H H,-8.076,4_WaterPeptide
CNC(=O)C,O,0,0,12,3,15038,S66x8,3057413,0,66869974,avdz,-5.8568,-0.1514,-1.11516,0.29316,-1.32165,-0.28355,-0.28103,-7.12335,-7.1688399999999985,-0.04549,-5.91527,-0.64361,-1.33159,-7.89047,-5.8827300000000005,-0.48924,-1.29348,-7.66545,-0.75626,-1.35941,-8.03094,-8.07643,-11.99064,-2.20715,0.06446,-11.46673,0.07381,-12.01968,9.39973,9.32752,-2.91903,1.26111,-3.93701,0.19662,0.29058,-1.70392,-9.4316,-8.06627,-8.170869999999999,-7.95211,5.21439 0.11165 -0.05363 4.34615 -1.04032 -0.16307 2.99552 -0.94282 -0.09846 2.4188 0.13248 0.05813 2.24079 -2.24083 -0.23105 4.5779 0.97995 0.08115 5.87998 0.02019 0.80246 5.80886 0.24107 -0.95589 4.7471 -1.95086 -0.29259 2.89075 -3.10194 -0.36397 1.55981 -2.16336 -1.07492 1.62777 -2.37963 0.65596 -0.39202 -0.38472 0.07607 -0.91146 0.41381 0.17765 0.5249 -0.06848 0.09051,C N C O C H H H H H H H O H H,-8.089,4_WaterPeptide
CNC(=O)C,O,0,0,12,3,15038,S66x8,3057413,5,66869975,avdz,-5.96879,-0.12424,-0.95156,0.24473000000000006,-1.13915,-0.24711,-0.24457,-7.044580000000002,-7.11032,-0.06573999999999999,-5.99494,-0.53338,-1.13368,-7.662000000000001,-5.96611,-0.40508,-1.10159,-7.47278,-0.6269899999999999,-1.1571,-7.77903,-7.84477,-10.23694,-3.19296,0.04892,-9.72596,0.056879999999999986,-10.26459,6.77217,6.73377,-2.2073400000000003,0.85935,-3.2786,0.1436,0.22064,-1.21232,-8.9671,-7.825639999999999,-7.920960000000001,-7.722289999999999,5.30919 0.12171 -0.05525 4.44095 -1.03026 -0.16469 3.09031 -0.93276 -0.10008 2.5136 0.14253 0.05651 2.33558 -2.23077 -0.23267 4.67269 0.99001 0.07953 5.97478 0.03025 0.80084 5.90365 0.25113 -0.95751 4.8419 -1.9408 -0.29421 2.98554 -3.09189 -0.36559 1.65461 -2.1533 -1.07654 1.72256 -2.36957 0.65434 -0.39202 -0.38472 0.07607 -0.91146 0.41381 0.17765 0.5249 -0.06848 0.09051,C N C O C H H H H H H H O H H,-7.851,4_WaterPeptide
